hypo,hyper
jigsaw,nail gun
temple,synagogue
double bass,banjo
turkey,turkey
crocodile,snake
scarf,necklace
supermarket,supermarket
hoe,hoe
cap,beret
leggings,trousers
kiwi,strawberry
jeans,leggings
lander,rocket
carp,pike
horse,horse
store,shopping mall
mosque,cathedral
tuna,catfish
fly,bee
gloves,bracelet
physical object,clothing
parrot,owl
warehouse,warehouse
space shuttle,probe
physical object,tool
marimba,triangle
pork,lamb
cow,monkey
pine,pine
sandals,shoes
seagull,penguin
catfish,trout
tram,monorail
physical object,food
beret,hat
t-shirt,shirt
tuba,trumpet
bass drum,snare drum
ruler,ruler
guitar,guitar
mango,peach
rice,noodles
spinach,broccoli
car,truck
lecture hall,school
rose,poppy
beanie,beret
lawn grass,wheatgrass
apartment building,cottage
sweater,cardigan
ice cream,ice cream
tuba,tuba
angle grinder,power drill
cornet,euphonium
helicopter,airliner
salmon,carp
micrometer,spirit level
hotel,store
bracken,bracken
mallet,utility knife
university building,library
jeans,shorts
bicycle,scooter
bungalow,bungalow
mosque,church
tiger,cat
strawberry,grape
blouse,jacket
cathedral,church
train,monorail
lamb,pork
wheatgrass,lawn grass
penguin,penguin
lawn grass,bamboo
warehouse,power plant
chicken,beef
mallet,mallet
bass clarinet,english horn
rake,rake
euphonium,euphonium
trowel,lawn mower
tie,belt
sneakers,slippers
saguaro,barrel cactus
synthesizer,piano
flute,bass clarinet
synthesizer,clavichord
physical object,plant
caliper,tape measure
lawn mower,shovel
rice,cereal
spirit level,spirit level
cheese,cream
maidenhair fern,bracken
saguaro,saguaro
wheatgrass,reed
sailboat,sailboat
cow,horse
pork,sausage
cream,yogurt
coach,taxi
cake,pie
screwdriver,pliers
helicopter,glider
rocket,space shuttle
snake,snake
snare drum,xylophone
jigsaw,power drill
beanie,cap
pear,pear
bicycle,minibus
physical object,animal
plum,blueberry
pepper,tomato
penguin,flamingo
spruce,fir
probe,space shuttle
wrench,chisel
orchid,rose
cream,butter
monorail,train
turtle,turtle
rose,lily
physical object,vehicle
school,school
power plant,warehouse
tomato,potato
saxophone,recorder
freight train,train
marimba,timpani
shark,goldfish
boat,ferry
kayak,ferry
library,lecture hall
harp,violin
bracken,tree fern
shorts,shorts
cherry tree,birch
flute,oboe
fly,beetle
clavichord,harpsichord
ferry,canoe
daisy,poppy
turtle,tortoise
drum kit,snare drum
workshop,factory
iguana,iguana
shoes,slippers
recorder,bassoon
caliper,spirit level
saguaro,christmas cactus
temple,mosque
noodles,cereal
crow,eagle
reed,bamboo
cardigan,jacket
file,file
tram,tram
cherry tree,cherry tree
cake,cake
bracelet,bracelet
necklace,necklace
physical object,instrument
physical object,building
house,apartment building
biplane,airliner
hotel,supermarket
university building,lecture hall
accordion,piano
trowel,pruning shears
mandolin,ukulele
butter,cheese
ice cream,cake
slippers,shoes
lily,sunflower
airliner,airliner
workshop,workshop
trousers,leggings
cat,goat
fly,fly
mosquito,moth
canoe,sailboat
onion,pepper
cream,cheese
scooter,motorcycle
moth,moth
cornet,french horn
pudding,pudding
onion,carrot
banjo,viola
barrel cactus,prickly pear
power drill,power drill
glider,glider
